group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
vectorized,,,,,990541.0,ns,291677
vectorized,,,,,1970208.0,ns,583354
vectorized,,,,,2951041.0,ns,875031
vectorized,,,,,3927416.0,ns,1166708
vectorized,,,,,4913041.0,ns,1458385
vectorized,,,,,5891333.0,ns,1750062
vectorized,,,,,6932541.0,ns,2041739
vectorized,,,,,7878500.0,ns,2333416
vectorized,,,,,8906875.0,ns,2625093
vectorized,,,,,9880333.0,ns,2916770
vectorized,,,,,10860791.0,ns,3208447
vectorized,,,,,11828583.0,ns,3500124
vectorized,,,,,12784166.0,ns,3791801
vectorized,,,,,13747708.0,ns,4083478
vectorized,,,,,14755125.0,ns,4375155
vectorized,,,,,15716875.0,ns,4666832
vectorized,,,,,16691875.0,ns,4958509
vectorized,,,,,17706000.0,ns,5250186
vectorized,,,,,18680791.0,ns,5541863
vectorized,,,,,19639125.0,ns,5833540
vectorized,,,,,20649125.0,ns,6125217
vectorized,,,,,21623375.0,ns,6416894
vectorized,,,,,22581916.0,ns,6708571
vectorized,,,,,23588625.0,ns,7000248
vectorized,,,,,24589166.0,ns,7291925
vectorized,,,,,25549166.0,ns,7583602
vectorized,,,,,26528125.0,ns,7875279
vectorized,,,,,27497041.0,ns,8166956
vectorized,,,,,28503750.0,ns,8458633
vectorized,,,,,29767125.0,ns,8750310
vectorized,,,,,30532083.0,ns,9041987
vectorized,,,,,31577125.0,ns,9333664
vectorized,,,,,32622958.0,ns,9625341
vectorized,,,,,33455125.0,ns,9917018
vectorized,,,,,34463291.0,ns,10208695
vectorized,,,,,35396666.0,ns,10500372
vectorized,,,,,36374708.0,ns,10792049
vectorized,,,,,37365208.0,ns,11083726
vectorized,,,,,38392083.0,ns,11375403
vectorized,,,,,39281000.0,ns,11667080
vectorized,,,,,40263958.0,ns,11958757
vectorized,,,,,41324541.0,ns,12250434
vectorized,,,,,42300500.0,ns,12542111
vectorized,,,,,43543583.0,ns,12833788
vectorized,,,,,44241875.0,ns,13125465
vectorized,,,,,45561458.0,ns,13417142
vectorized,,,,,46256083.0,ns,13708819
vectorized,,,,,47189125.0,ns,14000496
vectorized,,,,,48188666.0,ns,14292173
vectorized,,,,,49172166.0,ns,14583850
vectorized,,,,,50138000.0,ns,14875527
vectorized,,,,,51136833.0,ns,15167204
vectorized,,,,,52140583.0,ns,15458881
vectorized,,,,,53129791.0,ns,15750558
vectorized,,,,,54050916.0,ns,16042235
vectorized,,,,,55215875.0,ns,16333912
vectorized,,,,,56171875.0,ns,16625589
vectorized,,,,,57039875.0,ns,16917266
vectorized,,,,,57989000.0,ns,17208943
vectorized,,,,,58999833.0,ns,17500620
vectorized,,,,,59928208.0,ns,17792297
vectorized,,,,,60977958.0,ns,18083974
vectorized,,,,,62113625.0,ns,18375651
vectorized,,,,,65009875.0,ns,18667328
vectorized,,,,,65287833.0,ns,18959005
vectorized,,,,,64937125.0,ns,19250682
vectorized,,,,,65825625.0,ns,19542359
vectorized,,,,,66833208.0,ns,19834036
vectorized,,,,,67828458.0,ns,20125713
vectorized,,,,,68832458.0,ns,20417390
vectorized,,,,,69832041.0,ns,20709067
vectorized,,,,,70944083.0,ns,21000744
vectorized,,,,,71897166.0,ns,21292421
vectorized,,,,,72729500.0,ns,21584098
vectorized,,,,,73802875.0,ns,21875775
vectorized,,,,,74778666.0,ns,22167452
vectorized,,,,,75746708.0,ns,22459129
vectorized,,,,,76770583.0,ns,22750806
vectorized,,,,,78064416.0,ns,23042483
vectorized,,,,,78723458.0,ns,23334160
vectorized,,,,,79655875.0,ns,23625837
vectorized,,,,,80864041.0,ns,23917514
vectorized,,,,,81609541.0,ns,24209191
vectorized,,,,,82605291.0,ns,24500868
vectorized,,,,,83785458.0,ns,24792545
vectorized,,,,,84687250.0,ns,25084222
vectorized,,,,,85506375.0,ns,25375899
vectorized,,,,,86547791.0,ns,25667576
vectorized,,,,,87533000.0,ns,25959253
vectorized,,,,,88561708.0,ns,26250930
vectorized,,,,,89691833.0,ns,26542607
vectorized,,,,,90572375.0,ns,26834284
vectorized,,,,,91432708.0,ns,27125961
vectorized,,,,,109312000.0,ns,27417638
vectorized,,,,,99223416.0,ns,27709315
vectorized,,,,,94683250.0,ns,28000992
vectorized,,,,,97302708.0,ns,28292669
vectorized,,,,,96293166.0,ns,28584346
vectorized,,,,,97375541.0,ns,28876023
vectorized,,,,,98350458.0,ns,29167700
